更新日時,20190712185502
Conversation ID,comment
22271917231,"これから参加します。よろしくお願いします。 対応します 森田さんCREWの佐藤です。ご連絡いただきありがとうございます。お気をつけていってらっしゃいませ😊 シフト確認お願いします。53行目開始時間変更済み 確認しました 矢島 ありがとうございます！ 森田さん、お疲れ様です。CREWの佐藤です。本日も遅い時間まで参加していただきありがとうございました。ドライブモードをオフにして、お気をつけてお帰りください。ゆっくり休んでくださいね。またのご参加をお待ちしております😊 ありがとうございました。
呼び出し音が前に戻って分かり易くていいです。ドライブ中はわかりづらかったのでありがたいです。 送ります 森田さん　CREWの矢島です。
そう言っていただけて嬉しく思います。より一層皆様に快適にお使いいただけるよう、今後も努力して参ります。
お疲れ様でした😊 森田さんこんにちは、CREWの須藤です。いつもCREWドライブへのご参加ありがとうございます。
昨日0:57頃にマッチングされたドライブに関しまして、お伺いしたくご連絡させていただきました。
到着ボタンを押された後にキャンセルされたかと思うのですが、こちら何かご事情ございましたでしょうか。
お忙しい中、お手数おかけいたしますがお返事お待ちいたしております。 昨日は２回到着後にキャンセルさせていただきました。理由はライダーさんが来なかったからです。
事前にチャット、電話をしましたが、連絡がなかったり、自身で設定した遅れ時間内に来なかったなどです。到着後いないからすぐにキャンセルしたわけではなく、こちらから連絡を取る努力はしています。
遅れるのであれば、出来ればこまめに連絡していただきたいですね。 お返事いただきありがとうございます。
さようでございましたか。向かっていただいたにも関わらず、申し訳ございません。
キャンセル費に関しましては、こちらから後ほど反映させていただきます。お忙しい中、ご協力いただきありがとうございました。
今後ともCREWをよろしくお願いいたします。 森田さん、こんにちは。いつもありがとうございます。CREWの木村です。本日22時～27時でのご参加ありがとうございます😌
今日から6月ですね✨今月もよろしくお願いします。
本日もお気をつけて、よろしくお願いします😊 森田さん
こんばんはCREWの武田です。まもなく開始時間となります。ご準備できましたらドライブモードをオンにて、本日も安全運転でよろしくお願いいたします😊 これから参加します。よろしくお願いします。 対応します 森田さん
CREW武田です。ご連絡ありがとうございます。本日もお気を付けていってらっしゃいませ😊"
22271931876,"すいません。設定で連携する地図を選択できるメニューがありますが、切り替えてもGoogleのままです。yahooやappleは使えないのですか？ 対応します Androidは切り替え不可能でGoogleマップ固定。(2019/2/13現在) 山崎 この方、androidですが使えなくても設定まではできてしまうのでししょうか？？ 確認しますね！ 金野 手持ちのAndroidので確認しようと思ったら、切り替える場所が見当たらないんですが、今もAndroidからは切り替えはできなかったでしょうか！？ 友池 実際にマッチしてからの状態でないと地図の切り替えのアイコンが表示されないのでちょっと正確には分からないんですが、確かマニュアルにある通りAndroidはGoogle MAPしか対応できなかった気がします💦
おそらく選択の表示まではできるんだと思うんですが、実際に現在使用できるのはGoogle MAPのみになりますのような感じでお返事していただけたらと思います🙏 山崎 ありがとうございます！！かしこまりました！そのようにご案内します😊 Masakiさん、お問い合わせありがとうございます。CREWの友池です。androidの場合ですと、実際にご利用がいただけるのはGoogle MAPのみになります。わかりづらく、ご不便をおかけいたしました。よろしくお願いいたします。 Masakiさん、お問い合わせありがとうございます。CREWの友池です。androidの場合ですと、実際にご利用がいただけるのはGoogle MAPのみになります。わかりづらく、ご不便をおかけいたしました。よろしくお願いいたします。 ドライブはipadを使用しています。 連携マップ �Masakiさんこんにちは、CREWの須藤です。いつもCREWドライブへご参加いただきありがとうございます。
昨日お問い合わせいただいておりましたマップ関しまして、友池に代わり須藤がご対応させていただきます。
連携マップの設定はされておられるとのことでしたので、次回以降、CREWライダーとマッチ後の画面右上、赤丸の矢印部分をタップしていただきますとそのまま連携ナビアプリをご利用いただけます。
こちらはされましたでしょうか。お手数ですが、お試しいただそれでも表示されないようでしたらまたお気軽にご連絡いただければと思います。
何卒、よろしくお願いいたします😊 こちらは試された...の上は画像か何かでしょうか？ wifi環境でも読み込み中のまま表示不可です。 画像でかすぎるのかな… こちらはご覧になれますでしょうか。 今下り44Mbps出ていますが、表示できません。 こちらはいかがでしょうか。何度も申し訳ございません。
 表示されました。それで右上の赤丸を押すと切り替わるのですか？ Googleの経路検索アイコンに見えますが？ 左様でございます。右上赤丸をタップしていただきますと、表示が切り替わりますので次回お試しいただければと思います。
なお、iPadでご参加いただいているとのことなのですが、現在弊社ではまだiPadでの十分な動作確認ができていないため、通常利用ができなくなってしまう可能性が0ではないと言う点から推奨をしておりません。
ご利用いただくことは問題ございませんが、その点ご理解いただけますようお願いいたします。 Androidは全く使い物にならないので苦肉の策でiPadなんです。iPhoneしか開発してないとお見受けします。ところで切り替えは右上を押すと切り替わる仕様なら、設定内の地図アプリ選択はデフォルト指定なのでしょうか？ デフォルトではiOSにもともと内臓されているAppleマップとなっており、そこから連携設定をしていただくことでGoogleマップ・Yahooカーナビと連携することができます。
右上を押すことで、その連携先に移るという形でございます。 iPadは最初からGoogle MAPでしたが...。切り替えを試したいですがマッチング後じゃないと切り替えできないとおっしゃいましたので、後日そのときに行ってみます。 ありがとうございました。"
22271970188,"お疲れ様です。今日はこれにて失礼します。 送ります 笹倉さん、お疲れ様です。CREWの矢島です。ご連絡ありがとうございます。本日もご参加いただき、ありがとうございました。お気をつけてお帰りくださいませ。また次回のご参加もお待ちしております😊 笹倉さん、こんにちは。いつもありがとうございます。CREWの木村です。本日24時～27時でのご参加ありがとうございます😌
今日から6月ですね✨今月もよろしくお願いします。
本日もお気をつけて、よろしくお願いします😊 笹倉さん、こんばんは。CREWの友池です。まもなく開始時間となります。本日も安全運転でドライブよろしくお願いいたします😊 ご連絡ありがとうございます。24時より参加させて頂きます。"
22272188074,"終了しますね🎵 金森さん     ドライブお疲れさまでした。　CREWの野口です。     本日も遅い時間まで参加していただきありがとうございました。     ドライブモードをオフにして、お気をつけてお帰りください。     ゆっくり休んでくださいね😊  金森さん、こんにちは。いつもありがとうございます。CREWの木村です。本日22時～25時でのご参加ありがとうございます😌
今日から6月ですね✨今月もよろしくお願いします。
本日もお気をつけて、よろしくお願いします😊 こんにちは、突然ですが、体調不良にて、本日はお休みさせていただけますでしょうか 木村 ご連絡ありがとうございます。本日のキャンセル承りました。まだまだ気温差が激しいのでご自愛ください。またよろしくお願い致します✨ 確認お願いします 💂 ありがとうございます。申し訳けございません。"
22272240436,"すみません。明日22時スタートで参加予定ですが、すみません23時から仕事が入ってしまいました。可能であれば20時から23時に変更は可能ですか？むすがしい場合は、大丈夫です 対応します 小林さん　ご連絡ありがとうございます。CREWの矢島です。
明日、20時~23時で変更させていただきました。よろしくお願いいたします。 よろしくお願いいたします^_^ シフトシート確認お願いします。明日　45行目　小林さん　20時から23時に変更しました 確認します 矢島 OKです 佐藤  さん　(人''▽｀)ありがとう☆ございました 小林さん、こんにちは。いつもありがとうございます。CREWの木村です。本日20時～23時でのご参加ありがとうございます😌
今日から6月ですね✨今月もよろしくお願いします。
本日もお気をつけて、よろしくお願いします😊 小林さん
こんばんはCREWの武田です。まもなく開始時間となります。ご準備できましたらドライブモードをオンにて、本日も安全運転でよろしくお願いいたします😊 入ります"
22272637826,"休憩します。
あとアプリの調子がわるいみたいです 対応します。 堀越さんCREWの佐藤です。ご連絡いただきありがとうございます。ゆっくり休憩をお取りください😊
アプリの調子が良くない場合は、大変お手数ですがアプリ、または端末を再起動していただければと思います。再起動後も改善されない場合はまたこちらまでご連絡下さい。
よろしくお願いします。 堀越さんCREWの佐藤です。ご連絡いただきありがとうございます。ゆっくり休憩をお取りください😊
アプリの調子が良くない場合は、大変お手数ですがアプリ、または端末を再起動していただければと思います。再起動後も改善されない場合はまたこちらまでご連絡下さい。
よろしくお願いします。 もどりました 対応します 堀越さん、ご連絡いただきありがとうございます。CREWの磯辺です。
何かありましたらお気軽にこちらのチャットにてお問い合わせくださいませ。引き続き安全運転でよろしくお願いいたします。お気をつけていってらっしゃいませ😊 堀越さん、本日も遅くまでご参加頂きましてありがとうございました。CREWの友池です。お気をつけてお帰りください。また次回のご参加お待ちしております😊 無事終了ですお疲れ様でした 質問です。プロフィールに一言メッセージを載せたいのですが、可能でしょうか？
他のドライバーのプロフ画面に都内の道が疎いので道案内をお願いしますのようなメッセが書いてありました。プロフ編集で試したのですができませんでした。 プロフィール 堀越さんこんにちは、CREWの須藤です。
プロフィール文に関しまして、現在は下記内容となっております。「古くて小さな軽自動車ですが、安全運転で安心して頂けるように頑張ります！」
なお、こちらのチャットにてお送りいただけましたらご変更いたします😊✨お待ちいたしております。"
22273089906,"ユーザー名の変更完了 対応します https://api.crewcrew.jp/admin/users/17121#cs_issues ブラックリストでもない issueもないので、変更理由わかりませんがありがとうございます引き続きよろしくお願いしますのようなお返事でよろしいでしょうか？ 変えたよの報告なんですかね？ ですかね😕 当初Amiさんだったようですけど、2か月前くらいからOkadaさんでのやり取りっぽいですね。けど、それにしても今更感ですが・・・。まぁ、お礼して引き続きよろしくで様子見ますか。 坂口 ありがとうございます🙇そのように返してみます！ Okadaさん、ご連絡ありがとうございます。CREWの友池です。
ユーザー名の変更完了のご報告ありがとうございます。引き続きよろしくお願い致します。"
22273793158,"今日はこれで終了します！ありがとうございました。 対応します。 宮嶋さんこんばんは。CREWの宮崎です。
本日もご参加いただきありがとうございました。お気をつけてお帰りください。ごゆっくりお休みくださいませ。お疲れ様でした。 宮嶋さん、こんにちは。いつもありがとうございます。CREWの木村です。本日20時～23時でのご参加ありがとうございます😌
今日から6月ですね✨今月もよろしくお願いします。
本日もお気をつけて、よろしくお願いします😊 こんにちは！今日もよろしくお願いします。開始する時は改めてご連絡します。 これから向かいます。宜しくお願いします。 宮嶋さん、こんばんは。開始時間となります。本日は東浜がサポートさせていただきます。本日も安全運転にてよろしくお願い致します😊 宜しくお願いします！"
22273796495,終了します おくります 小川さん、お疲れ様です。CREWの佐藤です。本日も遅い時間まで参加していただきありがとうございました。ドライブモードをオフにして、お気をつけてお帰りください。ゆっくり休んでくださいね。またのご参加をお待ちしております😊
