Created at,UserId,Inbound/Outbound,Conversation ID,driver_distinguish,user_register_date,driver_register_date,ride_count,drive_count,days_to_question_since_registered,days_to_question_since_driver_registed,質問月
2019/06/01,21676,Inbound,22271917231,1,10/27,11/03,0,316,217,210,6
2019/06/01,44861,Inbound,22271931876,1,04/18,04/21,8,90,44,41,6
2019/06/01,25211,Inbound,22271970188,1,11/27,12/04,0,338,186,179,6
2019/06/01,18976,Inbound,22272188074,1,09/28,02/14,30,93,246,107,6
2019/06/01,9258,Inbound,22272240436,1,01/15,01/16,18,520,502,501,6
2019/06/01,23315,Inbound,22272637826,1,11/12,11/13,0,88,201,200,6
2019/06/01,17121,Inbound,22273089906,1,09/05,11/03,19,0,269,210,6
2019/06/01,37391,Inbound,22273793158,1,02/28,02/28,0,49,93,93,6
2019/06/01,45476,Inbound,22273796495,1,04/22,04/23,3,29,40,39,6
2019/06/01,33002,Inbound,22273865513,1,01/06,01/06,0,326,146,146,6
2019/06/01,2035,Inbound,22273911985,1,03/01,09/03,28,0,822,271,6
2019/06/01,27488,Inbound,22273914235,1,12/09,12/11,2,497,174,172,6
2019/06/01,45141,Inbound,22274264699,1,04/20,04/21,0,71,42,41,6
2019/06/01,32441,Inbound,22274398883,1,12/29,12/29,0,7,154,154,6
2019/06/01,18339,Inbound,22276703692,1,09/18,09/19,16,452,256,255,6
2019/06/01,50872,Inbound,22277050808,1,05/27,05/27,0,10,5,5,6
2019/06/01,36892,Inbound,22277560191,1,02/24,02/24,0,52,97,97,6
2019/06/01,28846,Inbound,22278680660,1,12/15,12/26,0,2,168,157,6
2019/06/01,49921,Inbound,22278991086,1,05/20,05/21,0,0,12,11,6
2019/06/01,45141,Inbound,22280038607,1,04/20,04/21,0,71,42,41,6
2019/06/01,46761,Inbound,22280499314,1,04/30,04/30,0,79,32,32,6
2019/06/01,38230,Inbound,22280505495,1,03/05,03/05,0,194,88,88,6
2019/06/01,22562,Inbound,22280531564,1,11/04,11/04,0,84,209,209,6
2019/06/01,47678,Inbound,22280802526,1,05/07,05/07,0,1,25,25,6
2019/06/01,33002,Inbound,22280971494,1,01/06,01/06,0,326,146,146,6
2019/06/01,50799,Inbound,22281113853,1,05/26,05/26,0,27,6,6,6
2019/06/01,27488,Inbound,22281137700,1,12/09,12/11,2,497,174,172,6
2019/06/01,47033,Inbound,22281856189,1,05/02,05/03,0,125,30,29,6
2019/06/01,31804,Inbound,22281998954,1,12/27,02/17,0,92,156,104,6
2019/06/01,49198,Inbound,22282238189,1,05/16,05/16,0,2,16,16,6
2019/06/01,51103,Inbound,22282285099,1,05/29,05/29,0,30,3,3,6
2019/06/01,51103,Inbound,22282290325,1,05/29,05/29,0,30,3,3,6
2019/06/01,9258,Inbound,22282332540,1,01/15,01/16,18,520,502,501,6
2019/06/01,763,Inbound,22283121133,1,04/03,04/15,1,837,1154,1142,6
2019/06/02,48731,Inbound,22283141576,1,05/13,05/14,0,13,20,19,6
2019/06/02,18452,Inbound,22283151738,1,09/20,09/22,0,56,255,253,6
2019/06/02,37391,Inbound,22283207572,1,02/28,02/28,0,49,94,94,6
2019/06/02,44417,Inbound,22283321729,1,04/14,04/14,0,6,49,49,6
2019/06/02,50872,Inbound,22283471562,1,05/27,05/27,0,10,6,6,6
2019/06/02,9258,Inbound,22283720605,1,01/15,01/16,18,520,503,502,6
2019/06/02,44417,Inbound,22283757769,1,04/14,04/14,0,6,49,49,6
2019/06/02,1902,Inbound,22283793041,1,02/11,04/13,0,29,841,50,6
2019/06/02,9258,Inbound,22284117472,1,01/15,01/16,18,520,503,502,6
2019/06/02,21676,Inbound,22284457525,1,10/27,11/03,0,316,218,211,6
2019/06/02,25211,Inbound,22284659085,1,11/27,12/04,0,338,187,180,6
2019/06/02,27488,Inbound,22284660733,1,12/09,12/11,2,497,175,173,6
2019/06/02,37361,Inbound,22285582961,1,02/28,02/28,0,49,94,94,6
2019/06/02,1902,Inbound,22285628837,1,02/11,04/13,0,29,841,50,6
2019/06/02,38379,Inbound,22285634004,1,03/06,03/09,0,38,88,85,6
2019/06/02,48774,Inbound,22285661505,1,05/13,05/14,0,41,20,19,6
2019/06/02,49837,Inbound,22286606876,1,05/19,05/19,0,2,14,14,6
2019/06/02,48072,Inbound,22286791682,1,05/09,05/10,0,61,24,23,6
2019/06/02,42314,Inbound,22286795277,1,03/31,03/31,0,44,63,63,6
2019/06/02,47236,Inbound,22287168513,1,05/04,05/05,1,9,29,28,6
2019/06/02,18089,Inbound,22287558443,1,09/15,09/15,4,259,260,260,6
2019/06/02,43191,Inbound,22287579077,1,04/06,04/06,0,2,57,57,6
2019/06/02,21721,Inbound,22287620942,1,10/27,10/27,0,0,218,218,6
2019/06/02,51122,Inbound,22287635833,1,05/29,05/29,0,13,4,4,6
2019/06/02,11414,Inbound,22287706542,1,03/18,03/18,9,299,441,441,6
2019/06/02,21795,Inbound,22288093360,1,10/28,10/28,0,159,217,217,6
2019/06/02,45698,Inbound,22288283660,1,04/24,04/24,0,55,39,39,6
2019/06/02,49830,Inbound,22288397561,1,05/19,05/19,0,44,14,14,6
2019/06/02,47355,Inbound,22288510797,1,05/05,05/05,0,23,28,28,6
2019/06/02,3590,Inbound,22288589663,1,07/13,07/13,0,1037,689,689,6
2019/06/02,44636,Inbound,22288636581,1,04/16,04/18,0,25,47,45,6
2019/06/02,47033,Inbound,22288684228,1,05/02,05/03,0,125,31,30,6
2019/06/02,48774,Inbound,22288686257,1,05/13,05/14,0,41,20,19,6
2019/06/02,45169,Inbound,22288873232,1,04/20,04/21,0,6,43,42,6
2019/06/02,51103,Inbound,22289064166,1,05/29,05/29,0,30,4,4,6
2019/06/02,18976,Inbound,22289074043,1,09/28,02/14,30,93,247,108,6
2019/06/02,45698,Inbound,22289618217,1,04/24,04/24,0,55,39,39,6
2019/06/02,21676,Inbound,22290180673,1,10/27,11/03,0,316,218,211,6
2019/06/03,21795,Inbound,22290352340,1,10/28,10/28,0,159,218,218,6
2019/06/03,18976,Inbound,22290413533,1,09/28,02/14,30,93,248,109,6
2019/06/03,38379,Inbound,22291524199,1,03/06,03/09,0,38,89,86,6
2019/06/03,21897,Inbound,22292166098,1,10/29,10/29,6,436,217,217,6
2019/06/03,48774,Inbound,22292241230,1,05/13,05/14,0,41,21,20,6
2019/06/03,47678,Inbound,22293608693,1,05/07,05/07,0,1,27,27,6
2019/06/03,49365,Inbound,22293703349,1,05/17,05/18,0,4,17,16,6
2019/06/03,24636,Inbound,22293858517,1,11/24,11/24,0,53,191,191,6
2019/06/03,50081,Inbound,22293872326,1,05/21,05/22,0,8,13,12,6
2019/06/03,48193,Inbound,22295803442,1,05/10,05/13,0,0,24,21,6
2019/06/03,46924,Inbound,22296155780,1,05/02,05/02,0,1,32,32,6
2019/06/03,40373,Inbound,22296934815,1,03/19,03/19,0,49,76,76,6
2019/06/03,46761,Inbound,22298647524,1,04/30,04/30,0,79,34,34,6
2019/06/03,51119,Inbound,22298810813,1,05/29,05/29,0,1,5,5,6
2019/06/03,51000,Inbound,22299009453,1,05/28,05/28,0,2,6,6,6
2019/06/03,39362,Inbound,22299055243,1,03/12,05/19,0,9,83,15,6
2019/06/03,28321,Inbound,22299112960,1,12/13,12/13,0,160,172,172,6
2019/06/03,49614,Inbound,22299146524,1,05/18,05/18,1,22,16,16,6
2019/06/03,50799,Inbound,22299154110,1,05/26,05/26,0,27,8,8,6
2019/06/03,51106,Inbound,22299283798,1,05/29,05/29,0,81,5,5,6
2019/06/03,46761,Inbound,22299287726,1,04/30,04/30,0,79,34,34,6
